Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,10.5,1.34965035,-286,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,11.0,3.78,+278,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,11.0,1.25062657,-399,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,11.5,4.05,+305,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,11.5,1.22371365,-447,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,12.0,4.78,+378,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,12.0,1.17006803,-588,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,12.5,4.98,+398,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Alternate,,,,12.5,1.15873016,-630,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Away Listed Pitcher - Kyle Tyler must start),,away,,,2.8,+180,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Away Listed Pitcher - Kyle Tyler must start),,home,,,1.4587156,-218,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Both Listed Pitchers - Kyle Tyler and Cristopher Sanchez must start),,away,,,2.8,+180,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Both Listed Pitchers - Kyle Tyler and Cristopher Sanchez must start),,home,,,1.4587156,-218,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Home Listed Pitcher - Cristopher Sanchez must start),,away,,,2.8,+180,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Money Line (Home Listed Pitcher - Cristopher Sanchez must start),,home,,,1.4587156,-218,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Runs (3 Way),,,,8.0,1.95238096,-105,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Runs (3 Way),,,,8.0,8.5,+750,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Runs (3 Way),,,,8.0,2.0,+100,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Alec Bohm,0.5,5.75,+475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Alec Bohm,0.5,1.11111112,-900,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Brandon Marsh,0.5,6.5,+550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Brandon Marsh,0.5,1.08333334,-1200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Bryson Stott,0.5,6.5,+550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Bryson Stott,0.5,1.08333334,-1200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Garrett Stubbs,0.5,11.0,+1000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Garrett Stubbs,0.5,1.02,-5000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Johan Rojas,0.5,12.0,+1100,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Johan Rojas,0.5,1.0125,-8000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Kody Clemens,0.5,5.75,+475,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Kody Clemens,0.5,1.11111112,-900,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Nick Castellanos,0.5,5.0,+400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Nick Castellanos,0.5,1.14285715,-700,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Tim Anderson,0.5,12.0,+1100,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Tim Anderson,0.5,1.01,-10000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Trea Turner,0.5,4.6,+360,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Trea Turner,0.5,1.16666667,-600,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,over,,Whit Merrifield,0.5,9.5,+850,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs,under,,Whit Merrifield,0.5,1.03333334,-3000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.95,+295,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25,-400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.9,+290,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.2631579,-380,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.6,+360,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.2,-500,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.0,+300,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25,-400,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.15,+215,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3508772,-285,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,4.7,+370,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.1904762,-525,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.05,+205,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.37037038,-270,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.75,+275,key
