Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,49.5,2.65,165,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,64.5,4.3,330,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,79.5,7.5,650,pp;0;ss;rey;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,D. Hopkins,94.5,16.0,1500,pp;0;ss;rey;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,19.5,1.2353,-425,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,34.5,1.5715,-175,pp;0;ss;rey;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,49.5,2.25,125,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,64.5,3.6,260,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,79.5,6.0,500,pp;0;ss;rey;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,C. Ridley,94.5,11.5,1050,pp;0;ss;rey;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Boyd,19.5,1.6897,-145,pp;0;ss;rey;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Boyd,34.5,2.65,165,pp;0;ss;rey;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Boyd,49.5,5.0,400,pp;0;ss;rey;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiver To Get,over,,T. Boyd,64.5,9.5,850,pp;0;ss;rey;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,W. Levis,0.5,1.4167,-240,pp;0;ss;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,W. Levis,1.5,3.3,230,pp;0;ss;tdp;1.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,W. Levis,2.5,11.0,1000,pp;0;ss;tdp;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,T. Huntley,0.5,1.5,-200,pp;0;ss;tdp;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,T. Huntley,1.5,3.6,260,pp;0;ss;tdp;1.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Passing TDs,over,,T. Huntley,2.5,14.0,1300,pp;0;ss;tdp;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,2.5,1.1819,-550,pp;0;ss;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,3.5,1.4762,-210,pp;0;ss;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,4.5,1.9524,-105,pp;0;ss;rec;4.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,5.5,2.85,185,pp;0;ss;rec;5.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,6.5,4.1,310,pp;0;ss;rec;6.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,7.5,6.5,550,pp;0;ss;rec;7.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,8.5,11.0,1000,pp;0;ss;rec;8.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,T. Hill,9.5,16.0,1500,pp;0;ss;rec;9.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,1.5,1.1429,-700,pp;0;ss;rec;1.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,2.5,1.4,-250,pp;0;ss;rec;2.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,3.5,1.9091,-110,pp;0;ss;rec;3.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,4.5,2.75,175,pp;0;ss;rec;4.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,5.5,4.1,310,pp;0;ss;rec;5.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,6.5,6.0,500,pp;0;ss;rec;6.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,7.5,11.0,1000,pp;0;ss;rec;7.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Receptions,over,,J. Waddle,8.5,16.0,1500,pp;0;ss;rec;8.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,11.5,1.6667,-150,pp;0;ss;rut;11.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,13.5,2.1,110,pp;0;ss;rut;13.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,15.5,2.65,165,pp;0;ss;rut;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,17.5,3.3,230,pp;0;ss;rut;17.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,19.5,4.3,330,pp;0;ss;rut;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,21.5,5.75,475,pp;0;ss;rut;21.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,23.5,7.5,650,pp;0;ss;rut;23.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,25.5,9.5,850,pp;0;ss;rut;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Rush Attempts,over,,T. Pollard,27.5,14.0,1300,pp;0;ss;rut;27.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,13.5,1.091,-1099,pp;0;ss;com;13.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,15.5,1.25,-400,pp;0;ss;com;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,17.5,1.5556,-180,pp;0;ss;com;17.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,19.5,2.15,115,pp;0;ss;com;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,21.5,3.2,220,pp;0;ss;com;21.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,23.5,5.25,425,pp;0;ss;com;23.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,W. Levis,25.5,9.0,800,pp;0;ss;com;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,11.5,1.1112,-899,pp;0;ss;com;11.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,13.5,1.3077,-325,pp;0;ss;com;13.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,15.5,1.7693,-130,pp;0;ss;com;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,17.5,2.6,160,pp;0;ss;com;17.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,19.5,4.3,330,pp;0;ss;com;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,21.5,7.5,650,pp;0;ss;com;21.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Completions,over,,T. Huntley,23.5,15.0,1400,pp;0;ss;com;23.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,23.5,1.125,-800,pp;0;ss;pat;23.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,25.5,1.25,-400,pp;0;ss;pat;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,27.5,1.4445,-225,pp;0;ss;pat;27.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,29.5,1.7143,-140,pp;0;ss;pat;29.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,31.5,2.2,120,pp;0;ss;pat;31.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,33.5,2.9,190,pp;0;ss;pat;33.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,35.5,4.0,300,pp;0;ss;pat;35.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,37.5,5.5,450,pp;0;ss;pat;37.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,39.5,8.0,700,pp;0;ss;pat;39.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,W. Levis,41.5,13.0,1200,pp;0;ss;pat;41.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,21.5,1.3077,-325,pp;0;ss;pat;21.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,23.5,1.6061,-165,pp;0;ss;pat;23.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,25.5,2.05,105,pp;0;ss;pat;25.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,27.5,2.75,175,pp;0;ss;pat;27.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,29.5,3.8,280,pp;0;ss;pat;29.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,31.5,5.5,450,pp;0;ss;pat;31.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,33.5,8.0,700,pp;0;ss;pat;33.5,2024-09-30
TEN(away) vs MIA(home),NFL,Alternate Pass Attempts,over,,T. Huntley,35.5,14.0,1300,pp;0;ss;pat;35.5,2024-09-30
SEA(away) vs DET(home),NFL,Moneyline,,home,,0.0,1.5,-200,s;0;m,2024-09-30
SEA(away) vs DET(home),NFL,Moneyline,,away,,0.0,2.65,165,s;0;m,2024-09-30
SEA(away) vs DET(home),NFL,Total,over,,,47.5,1.9091,-110,s;0;ou;47.5,2024-09-30
SEA(away) vs DET(home),NFL,Total,under,,,47.5,1.9091,-110,s;0;ou;47.5,2024-09-30
SEA(away) vs DET(home),NFL,Point Spread,,home,,-4.0,1.9091,-110,s;0;s;-4.0,2024-09-30
SEA(away) vs DET(home),NFL,Point Spread,,away,,4.0,1.9091,-110,s;0;s;4.0,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,D. Montgomery,0.5,1.8334,-120,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,J. Gibbs,0.5,1.9091,-110,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,A. St.,0.5,2.35,135,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,K. Walker,0.5,2.35,135,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,D. Metcalf,0.5,2.6,160,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,J. Williams,0.5,3.1,210,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,S. Laporta,0.5,3.1,210,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,J. Smith-Njigba,0.5,3.25,225,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,T. Lockett,0.5,3.4,240,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,D. Lions,0.5,5.25,425,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,N. Fant,0.5,5.25,425,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,Z. Charbonnet,0.5,5.75,475,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,S. Seahawks,0.5,6.5,550,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,T. Patrick,0.5,7.0,600,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,K. Raymond,0.5,7.0,600,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,J. Bobo,0.5,7.0,600,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,B. Wright,0.5,8.0,700,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,G. Smith,0.5,8.5,750,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,J. Goff,0.5,12.0,1100,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,L. Shenault,0.5,13.0,1200,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,B. Russell,0.5,13.0,1200,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,P. Hesse,0.5,15.0,1400,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,P. Brown,0.5,15.0,1400,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,D. Young,0.5,15.0,1400,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,A. Barner,0.5,15.0,1400,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,C. Reynolds,0.5,16.0,1500,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,S. Vaki,0.5,17.0,1600,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,A. Robinson,0.5,17.0,1600,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Anytime Touchdown Scorer,over,,K. Mcintosh,0.5,21.0,2000,pp;0;ou;td;0.5,2024-09-30
SEA(away) vs DET(home),NFL,Passing Yards,over,,G. Smith,245.5,1.8696,-115,pp;0;ou;pay;245.5,2024-09-30
SEA(away) vs DET(home),NFL,Passing Yards,under,,G. Smith,245.5,1.8696,-115,pp;0;ou;pay;245.5,2024-09-30
SEA(away) vs DET(home),NFL,Passing Yards,over,,J. Goff,240.5,1.8696,-115,pp;0;ou;pay;240.5,2024-09-30
SEA(away) vs DET(home),NFL,Passing Yards,under,,J. Goff,240.5,1.8696,-115,pp;0;ou;pay;240.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Passing Touchdowns,over,,J. Goff,1.5,2.0,100,pp;0;ou;tdp;1.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Passing Touchdowns,under,,J. Goff,1.5,1.7693,-130,pp;0;ou;tdp;1.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Passing Touchdowns,over,,G. Smith,1.5,2.1,110,pp;0;ou;tdp;1.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Passing Touchdowns,under,,G. Smith,1.5,1.6897,-145,pp;0;ou;tdp;1.5,2024-09-30
SEA(away) vs DET(home),NFL,Pass Attempts,over,,G. Smith,34.5,1.8696,-115,pp;0;ou;pat;34.5,2024-09-30
SEA(away) vs DET(home),NFL,Pass Attempts,under,,G. Smith,34.5,1.8696,-115,pp;0;ou;pat;34.5,2024-09-30
SEA(away) vs DET(home),NFL,Pass Attempts,over,,J. Goff,33.5,1.8696,-115,pp;0;ou;pat;33.5,2024-09-30
SEA(away) vs DET(home),NFL,Pass Attempts,under,,J. Goff,33.5,1.8696,-115,pp;0;ou;pat;33.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Pass Completions,over,,J. Goff,22.5,1.8696,-115,pp;0;ou;com;22.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Pass Completions,under,,J. Goff,22.5,1.8696,-115,pp;0;ou;com;22.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Pass Completions,over,,G. Smith,22.5,1.8696,-115,pp;0;ou;com;22.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback Pass Completions,under,,G. Smith,22.5,1.8696,-115,pp;0;ou;com;22.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,174.5,1.1,-1000,pp;0;ss;tdp;174.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,199.5,1.25,-400,pp;0;ss;tdp;199.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,224.5,1.5264,-190,pp;0;ss;tdp;224.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,249.5,1.9524,-105,pp;0;ss;tdp;249.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,274.5,2.85,185,pp;0;ss;tdp;274.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,299.5,4.3,330,pp;0;ss;tdp;299.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,324.5,7.0,600,pp;0;ss;tdp;324.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,G. Smith,349.5,13.0,1200,pp;0;ss;tdp;349.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,174.5,1.1,-1000,pp;0;ss;tdp;174.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,199.5,1.2667,-375,pp;0;ss;tdp;199.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,224.5,1.5715,-175,pp;0;ss;tdp;224.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,249.5,2.1,110,pp;0;ss;tdp;249.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,274.5,3.1,210,pp;0;ss;tdp;274.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,299.5,5.0,400,pp;0;ss;tdp;299.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,324.5,8.0,700,pp;0;ss;tdp;324.5,2024-09-30
SEA(away) vs DET(home),NFL,Quarterback To Get,over,,J. Goff,349.5,15.0,1400,pp;0;ss;tdp;349.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,over,,D. Montgomery,65.5,1.8696,-115,pp;0;ou;ruy;65.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,under,,D. Montgomery,65.5,1.8696,-115,pp;0;ou;ruy;65.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,over,,J. Gibbs,50.5,1.8334,-120,pp;0;ou;ruy;50.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,under,,J. Gibbs,50.5,1.9091,-110,pp;0;ou;ruy;50.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,over,,K. Walker,55.5,1.9524,-105,pp;0;ou;ruy;55.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Yards,under,,K. Walker,55.5,1.8,-125,pp;0;ou;ruy;55.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Attempts Over/Under,over,,D. Montgomery,15.5,2.0,100,pp;0;ou;rut;15.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Attempts Over/Under,under,,D. Montgomery,15.5,1.7693,-130,pp;0;ou;rut;15.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Attempts Over/Under,over,,J. Gibbs,11.5,1.8696,-115,pp;0;ou;rut;11.5,2024-09-30
SEA(away) vs DET(home),NFL,Rushing Attempts Over/Under,under,,J. Gibbs,11.5,1.8696,-115,pp;0;ou;rut;11.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,34.5,1.1429,-700,pp;0;ss;ruy;34.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,49.5,1.4,-250,pp;0;ss;ruy;49.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,64.5,1.8696,-115,pp;0;ss;ruy;64.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,79.5,2.6,160,pp;0;ss;ruy;79.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,94.5,4.0,300,pp;0;ss;ruy;94.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,109.5,5.75,475,pp;0;ss;ruy;109.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,124.5,9.0,800,pp;0;ss;ruy;124.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,D. Montgomery,139.5,15.0,1400,pp;0;ss;ruy;139.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,19.5,1.1112,-899,pp;0;ss;ruy;19.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,34.5,1.3449,-290,pp;0;ss;ruy;34.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,49.5,1.7693,-130,pp;0;ss;ruy;49.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,64.5,2.5,150,pp;0;ss;ruy;64.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,79.5,3.8,280,pp;0;ss;ruy;79.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,94.5,6.0,500,pp;0;ss;ruy;94.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,109.5,9.5,850,pp;0;ss;ruy;109.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,J. Gibbs,124.5,15.0,1400,pp;0;ss;ruy;124.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,34.5,1.2667,-375,pp;0;ss;ruy;34.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,49.5,1.7143,-140,pp;0;ss;ruy;49.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,64.5,2.5,150,pp;0;ss;ruy;64.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,79.5,3.8,280,pp;0;ss;ruy;79.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,94.5,6.0,500,pp;0;ss;ruy;94.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,109.5,10.0,900,pp;0;ss;ruy;109.5,2024-09-30
SEA(away) vs DET(home),NFL,Running Back To Get,over,,K. Walker,124.5,15.0,1400,pp;0;ss;ruy;124.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,A. St.,75.5,1.8696,-115,pp;0;ou;rey;75.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,A. St.,75.5,1.8696,-115,pp;0;ou;rey;75.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,D. Montgomery,10.5,2.05,105,pp;0;ou;rey;10.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,D. Montgomery,10.5,1.7143,-140,pp;0;ou;rey;10.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,D. Metcalf,65.5,1.8696,-115,pp;0;ou;rey;65.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,D. Metcalf,65.5,1.8696,-115,pp;0;ou;rey;65.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,J. Gibbs,20.5,1.8334,-120,pp;0;ou;rey;20.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,J. Gibbs,20.5,1.9091,-110,pp;0;ou;rey;20.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,J. Williams,45.5,1.9524,-105,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,J. Williams,45.5,1.8,-125,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,J. Smith-Njigba,45.5,1.8,-125,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,J. Smith-Njigba,45.5,1.9524,-105,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,N. Fant,25.5,1.8696,-115,pp;0;ou;rey;25.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,N. Fant,25.5,1.8696,-115,pp;0;ou;rey;25.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,S. Laporta,40.5,2.0,100,pp;0;ou;rey;40.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,S. Laporta,40.5,1.7693,-130,pp;0;ou;rey;40.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,over,,T. Lockett,45.5,1.8696,-115,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Receiving Yards,under,,T. Lockett,45.5,1.8696,-115,pp;0;ou;rey;45.5,2024-09-30
SEA(away) vs DET(home),NFL,Player Receptions,over,,A. St.,7.5,2.3,130,pp;0;ou;rec;7.5,2024-09-30
SEA(away) vs DET(home),NFL,Player Receptions,under,,A. St.,7.5,1.5883,-170,pp;0;ou;rec;7.5,2024-09-30
SEA(away) vs DET(home),NFL,Player Receptions,over,,D. Metcalf,5.5,2.35,135,pp;0;ou;rec;5.5,2024-09-30
SEA(away) vs DET(home),NFL,Player Receptions,under,,D. Metcalf,5.5,1.5715,-175,pp;0;ou;rec;5.5,2024-09-30
