Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,D. Hopkins,0.5,4.2,320,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,C. Ridley,0.5,4.2,320,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Huntley,0.5,4.5,350,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Wilson,0.5,4.75,375,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Spears,0.5,5.0,400,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,M. Dolphins,0.5,5.75,475,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,W. Levis,0.5,6.5,550,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Titans,0.5,6.5,550,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Boyd,0.5,7.0,600,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,C. Okonkwo,0.5,7.5,650,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Smith,0.5,9.0,800,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,J. Wright,0.5,11.0,1000,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,T. Burks,0.5,12.0,1100,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,B. Berrios,0.5,13.0,1200,pp;0;ou;td;0.5,2024-09-30
TEN(away) vs MIA(home),NFL,Anytime Touchdown Scorer,over,,M. Washington,0.5,13.0,1200,pp;0;ou;td;0.5,2024-09-30
