Teams,League,Category,Designation,Side,Name,Points,FD Decimal Odds,FD American Odds,Key,Date
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,J. Realmuto,0.5,3.65,265,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,T. Turner,0.5,3.6,260,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,B. Harper,0.5,3.8,280,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,J. Bell,0.5,3.8,280,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,J. McCarthy,0.5,3.9,290,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,K. Newman,0.5,4.0,300,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,E. Suarez,0.5,4.5,350,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,W. Wilson,0.5,4.5,350,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,G. Perdomo,0.5,4.7,370,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,E. Sosa,0.5,4.7,370,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,J. Herrera,0.5,4.8,380,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,K. Schwarber,0.5,5.3,430,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Double,over,,J. Rojas,0.5,5.6,460,pp;0;ss;dbl;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,R. Grichuk,0.5,2.0,100,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,K. Marte,0.5,2.05,105,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,J. Bell,0.5,2.05,105,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,A. Bohm,0.5,2.15,115,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,L. Gurriel,0.5,2.15,115,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,J. Realmuto,0.5,2.25,125,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,N. Castellanos,0.5,2.25,125,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,B. Harper,0.5,2.35,135,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,T. Turner,0.5,2.4,140,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,K. Schwarber,0.5,2.45,145,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,E. Suarez,0.5,2.4,140,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,W. Wilson,0.5,2.45,145,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,J. McCarthy,0.5,2.5,150,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,E. Sosa,0.5,2.5,150,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,K. Newman,0.5,2.6,160,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,G. Perdomo,0.5,2.8,180,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,J. Herrera,0.5,2.95,195,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record an RBI,over,,J. Rojas,0.5,3.1,210,pp;0;ss;rbi;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,Philadelphia Phillies Total Runs,over,away,,4.5,1.757575757575758,-132,s;0;tt;4.5;away,2024-08-08
PHI(away) vs ARI(home),MLB,Philadelphia Phillies Total Runs,under,away,,4.5,2.04,104,s;0;tt;4.5;away,2024-08-08
PHI(away) vs ARI(home),MLB,Kolby Allard - Strikeouts,over,,K. Allard Over,2.5,1.704225352112676,-142,pp;0;ou;so2.5,2024-08-08
PHI(away) vs ARI(home),MLB,Kolby Allard - Strikeouts,under,,K. Allard Under,2.5,2.12,112,pp;0;ou;so2.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,K. Marte,0.5,1.256410256410256,-390,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,T. Turner,0.5,1.285714285714286,-350,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,J. McCarthy,0.5,1.285714285714286,-350,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,R. Grichuk,0.5,1.303030303030303,-330,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,A. Bohm,0.5,1.3125,-320,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,N. Castellanos,0.5,1.32258064516129,-310,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,L. Gurriel,0.5,1.32258064516129,-310,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,J. Realmuto,0.5,1.333333333333333,-300,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,B. Harper,0.5,1.357142857142857,-280,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,K. Newman,0.5,1.37037037037037,-270,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,J. Bell,0.5,1.384615384615385,-260,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,K. Schwarber,0.5,1.416666666666667,-240,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,E. Sosa,0.5,1.434782608695652,-230,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,W. Wilson,0.5,1.476190476190476,-210,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,G. Perdomo,0.5,1.5,-200,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,E. Suarez,0.5,1.512820512820513,-195,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,J. Rojas,0.5,1.526315789473684,-190,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record A Hit,over,,J. Herrera,0.5,1.645161290322581,-155,pp;0;ss;hit;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,Jordan Montgomery - Strikeouts,over,,J. Montgomery Over,3.5,1.657894736842105,-152,pp;0;ou;so3.5,2024-08-08
PHI(away) vs ARI(home),MLB,Jordan Montgomery - Strikeouts,under,,J. Montgomery Under,3.5,2.2,120,pp;0;ou;so3.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,K. Schwarber,0.5,4.3,330,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,K. Marte,0.5,4.3,330,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,T. Turner,0.5,5.3,430,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,R. Grichuk,0.5,5.4,440,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,E. Suarez,0.5,5.5,450,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,B. Harper,0.5,5.5,450,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,J. Bell,0.5,5.6,460,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,W. Wilson,0.5,6.0,500,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,N. Castellanos,0.5,6.2,520,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,L. Gurriel,0.5,6.6,560,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,A. Bohm,0.5,7.0,600,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,J. Realmuto,0.5,7.0,600,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,E. Sosa,0.5,7.8,680,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,J. Herrera,0.5,11.0,1000,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,K. Newman,0.5,11.6,1060,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,J. McCarthy,0.5,11.6,1060,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,G. Perdomo,0.5,12.0,1100,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit A Home Run,over,,J. Rojas,0.5,14.0,1300,pp;0;ss;hr;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,Run Line,,away,,1.5,1.531914893617021,-188,s;0;s;-1.5,2024-08-08
PHI(away) vs ARI(home),MLB,Run Line,,home,,-1.5,2.55,155,s;0;s;-1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,R. Grichuk,1.5,4.6,360,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,K. Marte,1.5,4.8,380,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,J. Bell,1.5,4.9,390,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,A. Bohm,1.5,5.2,420,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,L. Gurriel,1.5,5.4,440,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,N. Castellanos,1.5,5.5,450,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,E. Suarez,1.5,5.7,470,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,J. Realmuto,1.5,5.7,470,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,B. Harper,1.5,5.8,480,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,T. Turner,1.5,5.8,480,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,K. Schwarber,1.5,6.0,500,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,W. Wilson,1.5,6.5,550,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,J. McCarthy,1.5,7.0,600,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,E. Sosa,1.5,7.0,600,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,K. Newman,1.5,7.5,650,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,G. Perdomo,1.5,8.5,750,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,J. Herrera,1.5,8.5,750,,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ RBIs,over,,J. Rojas,1.5,9.5,850,,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,J. McCarthy,0.5,9.7,870,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,E. Sosa,0.5,11.6,1060,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,K. Marte,0.5,15.0,1400,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,R. Grichuk,0.5,15.0,1400,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,N. Castellanos,0.5,19.0,1800,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,G. Perdomo,0.5,19.0,1800,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,K. Newman,0.5,19.0,1800,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,J. Rojas,0.5,19.0,1800,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,A. Bohm,0.5,21.0,2000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,E. Suarez,0.5,21.0,2000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,J. Realmuto,0.5,21.0,2000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,J. Herrera,0.5,21.0,2000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,W. Wilson,0.5,21.0,2000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,J. Bell,0.5,23.0,2200,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,L. Gurriel,0.5,26.0,2500,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,T. Turner,0.5,26.0,2500,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,B. Harper,0.5,36.0,3500,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Hit a Triple,over,,K. Schwarber,0.5,41.0,4000,pp;0;ss;trp;0.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,K. Marte,1.5,4.4,340,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,K. Schwarber,1.5,5.0,400,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,T. Turner,1.5,5.2,420,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,B. Harper,1.5,5.7,470,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. McCarthy,1.5,5.9,490,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,R. Grichuk,1.5,5.9,490,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Bell,1.5,6.0,500,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,A. Bohm,1.5,6.0,500,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Realmuto,1.5,6.5,550,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,L. Gurriel,1.5,6.5,550,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,E. Suarez,1.5,7.5,650,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,N. Castellanos,1.5,7.5,650,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,W. Wilson,1.5,8.5,750,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,K. Newman,1.5,9.0,800,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,E. Sosa,1.5,9.0,800,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,G. Perdomo,1.5,9.5,850,pp;0;ss;run;1.5,2024-08-08
PHI(away) vs ARI(home),MLB,To Record 2+ Runs,over,,J. Herrera,1.5,10.0,900,pp;0;ss;run;1.5,2024-08-08
