Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,,away,-0.5,s;-1;s;0.5,100,2.0,spread,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,,away,,s;-1;m,-142,1.7,moneyline,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,over,away,1.5,s;-1;tt;1.5;away,-160,1.62,team_total,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,under,away,1.5,s;-1;tt;1.5;away,130,2.3,team_total,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,,home,0.5,s;-1;s;0.5,-120,1.83,spread,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,,home,,s;-1;m,122,2.22,moneyline,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,over,home,1.5,s;-1;tt;1.5;home,-110,1.91,team_total,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,under,home,1.5,s;-1;tt;1.5;home,-120,1.83,team_total,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,over,,3.5,s;-1;ou;3.5,-125,1.8,total,2024-08-12,
1st 5 Innings,490457439,HOU(away) vs TB(home),MLB,under,,3.5,s;-1;ou;3.5,105,2.05,total,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,,away,1.5,s;0;s;-1.5,-180,1.56,spread,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,,away,,s;0;m,113,2.13,moneyline,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,over,away,4.5,s;0;tt;4.5;away,-108,1.93,team_total,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,under,away,4.5,s;0;tt;4.5;away,-122,1.82,team_total,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,,home,-1.5,s;0;s;-1.5,160,2.6,spread,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,,home,,s;0;m,-123,1.81,moneyline,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,over,home,4.5,s;0;tt;4.5;home,-124,1.81,team_total,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,under,home,4.5,s;0;tt;4.5;home,-106,1.94,team_total,2024-08-12,
Game,490457434,TEX(away) vs BOS(home),MLB,over,,9.0,s;0;ou;9,-110,1.91,total,2024-08-12,
