Key,Designation,Name,Date,Teams,League,Category,Side,Points,PN Decimal Odds,PB Decimal Odds,DK Decimal Odds,FD Decimal Odds,PN American Odds,PB American Odds,DK American Odds,FD American Odds,PN Fair Odds,Best Deal,Fair Odds Ratio,arb ROI%
s;0;ou;6.5,over,,2024-10-01,DET(away) vs HOU(home),MLB,Total Runs,,6.5,,1.9091,1.92592593,1.869565217391304,,-110.0,-108.0,-115.0,,-108.0,,-3.0468394724874837
s;0;ou;6.5,under,,2024-10-01,DET(away) vs HOU(home),MLB,Total Runs,,6.5,,1.9091,1.89285715,1.952380952380952,,-110.0,-112.0,-105.0,,-105.0,,-3.0468394724874837
s;0;tt;2.5;away,over,,2024-10-01,DET(away) vs HOU(home),MLB,,away,,,1.7143,,,,-140.0,,,,-140.0,,-6.641366223908907
s;0;tt;2.5;away,under,,2024-10-01,DET(away) vs HOU(home),MLB,,away,,,2.05,,,,105.0,,,,105.0,,-6.641366223908907
s;0;tt;3.5;home,over,,2024-10-01,DET(away) vs HOU(home),MLB,,home,,,2.15,,,,115.0,,,,115.0,,-6.113537117903933
s;0;tt;3.5;home,under,,2024-10-01,DET(away) vs HOU(home),MLB,,home,,,1.6667,,,,-150.0,,,,-150.0,,-6.113537117903933
s;0;m,,,2024-10-01,KAN(away) vs BAL(home),MLB,Moneyline,home,0,,1.625,1.6451613,1.617283950617284,,-160.0,-155.0,-162.0,,-155.0,,
s;0;m,,,2024-10-01,KAN(away) vs BAL(home),MLB,Moneyline,away,0,,2.3,2.3,2.36,,130.0,130.0,136.0,,136.0,,
s;0;s;-1.5,,,2024-10-01,KAN(away) vs BAL(home),MLB,Run Line,home,-1.5,,2.5,2.5,2.5,,150.0,150.0,150.0,,150.0,,
s;0;s;-1.5,,,2024-10-01,KAN(away) vs BAL(home),MLB,Run Line,away,1.5,,1.5556,1.55555556,1.549450549450549,,-180.0,-180.0,-182.0,,-180.0,,
s;0;ou;7.0,over,,2024-10-01,KAN(away) vs BAL(home),MLB,,,,,2.0,,,,100.0,,,,100.0,,-4.347826086956519
s;0;ou;7.0,under,,2024-10-01,KAN(away) vs BAL(home),MLB,,,,,1.8334,,,,-120.0,,,,-120.0,,-4.347826086956519
s;0;tt;2.5;away,over,,2024-10-01,KAN(away) vs BAL(home),MLB,,away,,,1.6897,,,,-145.0,,,,-145.0,,-6.369426751592366
s;0;tt;2.5;away,under,,2024-10-01,KAN(away) vs BAL(home),MLB,,away,,,2.1,,,,110.0,,,,110.0,,-6.369426751592366
s;0;tt;3.5;home,over,,2024-10-01,KAN(away) vs BAL(home),MLB,,home,,,1.9091,,,,-110.0,,,,-110.0,,-6.477732793522262
s;0;tt;3.5;home,under,,2024-10-01,KAN(away) vs BAL(home),MLB,,home,,,1.8334,,,,-120.0,,,,-120.0,,-6.477732793522262
s;0;m,,,2024-09-30,TEN(away) vs MIA(home),NFL,Moneyline,home,0,1.6756756756756757,1.6897,1.70422536,1.684931506849315,-148.0,-145.0,-142.0,-146.0,-138.0,-142.0,0.9718309967999997,
s;0;m,,,2024-09-30,TEN(away) vs MIA(home),NFL,Moneyline,away,0,2.31,2.2,2.2,2.24,131.0,120.0,120.0,124.0,138.0,131.0,0.8985507246376814,
s;0;s;-2.5,,,2024-09-30,TEN(away) vs MIA(home),NFL,Spread,home,-2.5,1.862068965517241,1.9091,1.86956522,1.869565217391304,-116.0,-110.0,-115.0,-115.0,-109.0,-110.0,0.990919,
s;0;s;2.5,,,2024-09-30,TEN(away) vs MIA(home),NFL,,away,,,1.9091,,,,-110.0,,,,-110.0,,
s;0;ou;37.5,over,,2024-09-30,TEN(away) vs MIA(home),NFL,Total Match Points,,37.5,1.9615384615384617,1.9091,,1.943396226415094,-104.0,-110.0,,-106.0,104.0,-104.0,0.9071117561683595,-3.2520325203251876
s;0;ou;37.5,over,,2024-09-30,TEN(away) vs MIA(home),NFL,Alternate Total Points,,37.5,1.9615384615384617,1.9091,,1.925925925925926,-104.0,-110.0,,-108.0,104.0,-104.0,0.8903133903133904,
s;0;ou;37.5,under,,2024-09-30,TEN(away) vs MIA(home),NFL,Total Match Points,,37.5,1.8928571428571428,1.9091,,1.87719298245614,-112.0,-110.0,,-114.0,-104.0,-110.0,0.9454639999999999,-3.2520325203251876
s;0;ou;37.5,under,,2024-09-30,TEN(away) vs MIA(home),NFL,Alternate Total Points,,37.5,1.8928571428571428,1.9091,,1.833333333333333,-112.0,-110.0,,-120.0,-104.0,-110.0,0.9454639999999999,-3.2520325203251876
pp;0;ou;td;0.5,over,D. Achane,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,2.16,1.9524,2.35,1.952380952380952,116.0,-105.0,135.0,-105.0,127.0,135.0,1.062992125984252,-1.2159110647906868
pp;0;ou;td;0.5,over,T. Pollard,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,2.84,2.25,2.9,2.2,184.0,125.0,190.0,120.0,199.0,190.0,0.9547738693467335,-4.345249851866473
pp;0;ou;td;0.5,over,T. Hill,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,3.28,2.75,2.75,2.75,228.0,175.0,175.0,175.0,247.0,228.0,0.7085020242914979,-5.47886722641241
pp;0;ou;td;0.5,over,J. Waddle,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,4.140000000000001,3.7,3.5,3.9,314.0,270.0,250.0,290.0,339.0,314.0,0.8554572271386429,-5.781768975273693
pp;0;ou;td;0.5,over,D. Hopkins,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,4.35,4.2,4.5,4.6,335.0,320.0,350.0,360.0,356.0,360.0,1.0112359550561796,-3.527002427184456
pp;0;ou;td;0.5,over,C. Ridley,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,4.3100000000000005,4.2,3.65,4.1,331.0,320.0,265.0,310.0,358.0,331.0,0.893854748603352,-5.833655361017797
pp;0;ou;td;0.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,4.470000000000001,4.5,3.6,4.5,347.0,350.0,260.0,350.0,375.0,350.0,0.9333333333333333,-5.835010060362178
pp;0;ou;td;0.5,over,J. Wilson,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,4.75,,,,375.0,,,,375.0,,
pp;0;ou;td;0.5,over,T. Spears,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,4.07,5.0,4.7,4.9,307.0,400.0,370.0,390.0,332.0,400.0,1.2048192771084336,-1.5591007976794802
pp;0;ou;td;0.5,over,M. Dolphins,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,5.75,,,,475.0,,,,475.0,,
pp;0;ou;td;0.5,over,W. Levis,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,5.75,6.5,4.3,6.5,475.0,550.0,330.0,550.0,512.0,550.0,1.07421875,-4.309171005206247
pp;0;ou;td;0.5,over,T. Titans,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,6.5,,,,550.0,,,,550.0,,
pp;0;ou;td;0.5,over,T. Boyd,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,5.43,7.0,4.8,7.0,443.0,600.0,380.0,600.0,478.0,600.0,1.2552301255230125,-2.2575250836120553
pp;0;ou;td;0.5,over,C. Okonkwo,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,6.81,7.5,4.8,7.5,581.0,650.0,380.0,650.0,625.0,650.0,1.04,-4.799494790022097
pp;0;ou;td;0.5,over,J. Smith,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,8.059999999999999,9.0,5.75,9.5,706.0,800.0,475.0,850.0,756.0,850.0,1.1243386243386246,-4.1718555417185605
pp;0;ou;td;0.5,over,J. Wright,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,11.0,16.0,11.0,,1000.0,1500.0,1000.0,,1500.0,,
pp;0;ou;td;0.5,over,T. Burks,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,10.12,12.0,7.5,11.0,912.0,1100.0,650.0,1000.0,971.0,1100.0,1.132852729145211,-4.101150915869656
pp;0;ou;td;0.5,over,B. Berrios,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,9.99,13.0,9.0,14.0,899.0,1200.0,800.0,1300.0,957.0,1300.0,1.3584117032392895,-2.8983417447729143
pp;0;ou;td;0.5,over,M. Washington,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,13.0,15.0,14.0,,1200.0,1400.0,1300.0,,1400.0,,
pp;0;ou;td;0.5,over,J. Whyle,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,10.88,13.0,10.5,14.0,988.0,1200.0,950.0,1300.0,1050.0,1300.0,1.2380952380952381,-3.5395476845757945
pp;0;ou;td;0.5,over,J. Chestnut,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,16.0,29.0,18.0,,1500.0,2800.0,1700.0,,2800.0,,
pp;0;ou;td;0.5,over,J. Hill,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,19.0,11.0,18.0,,1800.0,1000.0,1700.0,,1800.0,,
pp;0;ou;td;0.5,over,N. Westbrook-Ikhine,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,20.0,31.0,23.0,,1900.0,3000.0,2200.0,,3000.0,,
pp;0;ou;td;0.5,over,N. Vannett,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,21.0,10.5,23.0,,2000.0,950.0,2200.0,,2200.0,,
pp;0;ou;td;0.5,over,D. Smythe,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,12.86,23.0,15.0,23.0,1186.0,2200.0,1400.0,2200.0,1254.0,2200.0,1.7543859649122808,-1.7979194428921486
pp;0;ou;td;0.5,over,A. Ingold,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,12.12,23.0,,20.0,1112.0,2200.0,,1900.0,1178.0,2200.0,1.867572156196944,-1.480623933707026
pp;0;ou;td;0.5,over,T. Conner,2024-09-30,TEN(away) vs MIA(home),NFL,Any Time Touchdown Scorer,,Cant find point,,29.0,13.0,37.0,,2800.0,1200.0,3600.0,,3600.0,,
pp;0;ou;pay;165.5,over,T. Huntley,2024-09-30,TEN(away) vs MIA(home),NFL,,,,,1.9091,,,,-110.0,,,,-110.0,,-6.477732793522262
