Category,Designation,Points,PN American Odds
Ernie Clement (Total Bases)(must start),under,1.5,-179
Leo Jiménez (Home Runs)(must start),over,0.5,862
Leo Jiménez (Home Runs)(must start),under,0.5,-2141
Leo Jiménez (Total Bases)(must start),over,0.5,-178
Leo Jiménez (Total Bases)(must start),under,0.5,121
Addison Barger (Home Runs)(must start),over,0.5,448
Addison Barger (Home Runs)(must start),under,0.5,-750
Addison Barger (Total Bases)(must start),over,0.5,-198
Addison Barger (Total Bases)(must start),under,0.5,137
Logan O'Hoppe (Home Runs)(must start),over,0.5,307
Logan O'Hoppe (Home Runs)(must start),under,0.5,-445
Logan O'Hoppe (Total Bases)(must start),over,1.5,-102
Logan O'Hoppe (Total Bases)(must start),under,1.5,-134
Zach Neto (Home Runs)(must start),over,0.5,370
Zach Neto (Home Runs)(must start),under,0.5,-573
Zach Neto (Total Bases)(must start),over,1.5,122
Zach Neto (Total Bases)(must start),under,1.5,-165
Spencer Horwitz (Home Runs)(must start),over,0.5,477
Spencer Horwitz (Home Runs)(must start),under,0.5,-824
Spencer Horwitz (Total Bases)(must start),over,1.5,122
Spencer Horwitz (Total Bases)(must start),under,1.5,-164
Nolan Schanuel (Home Runs)(must start),over,0.5,700
Nolan Schanuel (Home Runs)(must start),under,0.5,-1500
Nolan Schanuel (Total Bases)(must start),over,1.5,139
Nolan Schanuel (Total Bases)(must start),under,1.5,-191
Joey Loperfido (Home Runs)(must start),over,0.5,477
Joey Loperfido (Home Runs)(must start),under,0.5,-824
Joey Loperfido (Total Bases)(must start),over,0.5,-185
Joey Loperfido (Total Bases)(must start),under,0.5,131
Sonny Gray (Total Strikeouts)(must start),over,6.5,-129
Sonny Gray (Total Strikeouts)(must start),under,6.5,-113
Sonny Gray (Hits Allowed)(must start),over,4.5,-148
Sonny Gray (Hits Allowed)(must start),under,4.5,101
Sonny Gray (Earned Runs)(must start),over,2.5,118
Sonny Gray (Earned Runs)(must start),under,2.5,-173
Sonny Gray (Pitching Outs)(must start),over,17.5,-239
Sonny Gray (Pitching Outs)(must start),under,17.5,161
Nolan Arenado (Home Runs)(must start),over,0.5,314
Nolan Arenado (Home Runs)(must start),under,0.5,-565
Nolan Arenado (Total Bases)(must start),over,1.5,104
Nolan Arenado (Total Bases)(must start),under,1.5,-138
Jeimer Candelario (Home Runs)(must start),over,0.5,481
Jeimer Candelario (Home Runs)(must start),under,0.5,-1244
Jeimer Candelario (Total Bases)(must start),over,0.5,-180
Jeimer Candelario (Total Bases)(must start),under,0.5,132
Jake Fraley (Home Runs)(must start),over,0.5,-1442
Jake Fraley (Home Runs)(must start),under,0.5,684
Jake Fraley (Total Bases)(must start),over,0.5,-168
Jake Fraley (Total Bases)(must start),under,0.5,124
Tyler Stephenson (Home Runs)(must start),over,0.5,540
Tyler Stephenson (Home Runs)(must start),under,0.5,-992
Tyler Stephenson (Total Bases)(must start),over,1.5,137
Tyler Stephenson (Total Bases)(must start),under,1.5,-187
Ty France (Home Runs)(must start),over,0.5,602
Ty France (Home Runs)(must start),under,0.5,-1175
Ty France (Total Bases)(must start),over,0.5,-199
Ty France (Total Bases)(must start),under,0.5,144
Spencer Steer (Home Runs)(must start),over,0.5,444
Spencer Steer (Home Runs)(must start),under,0.5,-741
Spencer Steer (Total Bases)(must start),over,1.5,117
Spencer Steer (Total Bases)(must start),under,1.5,-157
TJ Friedl (Home Runs)(must start),over,0.5,581
TJ Friedl (Home Runs)(must start),under,0.5,-1110
TJ Friedl (Total Bases)(must start),over,0.5,-167
TJ Friedl (Total Bases)(must start),under,0.5,124
Andrew Abbott (Total Strikeouts)(must start),over,5.5,195
Andrew Abbott (Total Strikeouts)(must start),under,5.5,-303
Andrew Abbott (Hits Allowed)(must start),over,5.5,129
Andrew Abbott (Hits Allowed)(must start),under,5.5,-175
Andrew Abbott (Earned Runs)(must start),over,2.5,-165
Andrew Abbott (Earned Runs)(must start),under,2.5,122
Andrew Abbott (Pitching Outs)(must start),over,15.5,-103
Andrew Abbott (Pitching Outs)(must start),under,15.5,-140
Noelvi Marte (Home Runs)(must start),over,0.5,658
Noelvi Marte (Home Runs)(must start),under,0.5,-1355
Noelvi Marte (Total Bases)(must start),over,0.5,-177
Noelvi Marte (Total Bases)(must start),under,0.5,130
Elly De La Cruz (Home Runs)(must start),over,0.5,441
Elly De La Cruz (Home Runs)(must start),under,0.5,-1045
Elly De La Cruz (Total Bases)(must start),over,0.5,-176
Elly De La Cruz (Total Bases)(must start),under,0.5,130
Masyn Winn (Home Runs)(must start),over,0.5,474
Masyn Winn (Home Runs)(must start),under,0.5,-1197
Masyn Winn (Total Bases)(must start),over,1.5,118
Masyn Winn (Total Bases)(must start),under,1.5,-159
Willson Contreras (Home Runs)(must start),over,0.5,-387
Willson Contreras (Home Runs)(must start),under,0.5,250
Willson Contreras (Total Bases)(must start),over,1.5,101
Willson Contreras (Total Bases)(must start),under,1.5,-137
Brendan Donovan (Home Runs)(must start),over,0.5,767
Brendan Donovan (Home Runs)(must start),under,0.5,-1749
Brendan Donovan (Total Bases)(must start),over,1.5,138
Brendan Donovan (Total Bases)(must start),under,1.5,-190
Tommy Pham (Home Runs)(must start),over,0.5,376
Tommy Pham (Home Runs)(must start),under,0.5,-584
Tommy Pham (Total Bases)(must start),over,1.5,109
Tommy Pham (Total Bases)(must start),under,1.5,-146
Paul Goldschmidt (Home Runs)(must start),over,0.5,278
Paul Goldschmidt (Home Runs)(must start),under,0.5,-457
Paul Goldschmidt (Total Bases)(must start),over,1.5,104
Paul Goldschmidt (Total Bases)(must start),under,1.5,-138
Pedro Pages (Home Runs)(must start),over,0.5,519
Pedro Pages (Home Runs)(must start),under,0.5,-935
Pedro Pages (Total Bases)(must start),over,0.5,-161
Pedro Pages (Total Bases)(must start),under,0.5,120
Victor Scott II (Home Runs)(must start),over,0.5,723
Victor Scott II (Home Runs)(must start),under,0.5,-1581
Victor Scott II (Total Bases)(must start),over,0.5,-140
Victor Scott II (Total Bases)(must start),under,0.5,103
Jordan Walker (Home Runs)(must start),over,0.5,401
Jordan Walker (Home Runs)(must start),under,0.5,-642
Jordan Walker (Total Bases)(must start),over,1.5,133
Jordan Walker (Total Bases)(must start),under,1.5,-181
Will Benson (Home Runs)(must start),over,0.5,508
Will Benson (Home Runs)(must start),under,0.5,-904
Will Benson (Total Bases)(must start),over,0.5,122
Will Benson (Total Bases)(must start),under,0.5,-164
Carlos Santana (Home Runs)(must start),over,0.5,617
Carlos Santana (Home Runs)(must start),under,0.5,-1223
Carlos Santana (Total Bases)(must start),over,0.5,-173
Carlos Santana (Total Bases)(must start),under,0.5,127
Salvador Perez (Home Runs)(must start),over,0.5,427
Salvador Perez (Home Runs)(must start),under,0.5,-986
Salvador Perez (Total Bases)(must start),over,1.5,130
Salvador Perez (Total Bases)(must start),under,1.5,-177
Hunter Renfroe (Home Runs)(must start),over,0.5,553
Hunter Renfroe (Home Runs)(must start),under,0.5,-1029
Hunter Renfroe (Total Bases)(must start),over,0.5,-171
Hunter Renfroe (Total Bases)(must start),under,0.5,126
Max Kepler (Home Runs)(must start),over,0.5,583
Max Kepler (Home Runs)(must start),under,0.5,-1117
Max Kepler (Total Bases)(must start),over,1.5,137
Max Kepler (Total Bases)(must start),under,1.5,-188
Byron Buxton (Home Runs)(must start),over,0.5,357
Byron Buxton (Home Runs)(must start),under,0.5,-695
Byron Buxton (Total Bases)(must start),over,1.5,118
Byron Buxton (Total Bases)(must start),under,1.5,-163
Pablo Lopez (Total Strikeouts)(must start),over,5.5,-162
Pablo Lopez (Total Strikeouts)(must start),under,5.5,111
Pablo Lopez (Hits Allowed)(must start),over,5.5,-135
Pablo Lopez (Hits Allowed)(must start),under,5.5,-107
Pablo Lopez (Earned Runs)(must start),over,2.5,101
Pablo Lopez (Earned Runs)(must start),under,2.5,-146
Pablo Lopez (Pitching Outs)(must start),over,18.5,140
Pablo Lopez (Pitching Outs)(must start),under,18.5,-214
Willi Castro (Home Runs)(must start),over,0.5,675
Willi Castro (Home Runs)(must start),under,0.5,-1413
Willi Castro (Total Bases)(must start),over,1.5,119
Willi Castro (Total Bases)(must start),under,1.5,-160
Trevor Larnach (Home Runs)(must start),over,0.5,589
Trevor Larnach (Home Runs)(must start),under,0.5,-1136
Trevor Larnach (Total Bases)(must start),over,0.5,-217
Trevor Larnach (Total Bases)(must start),under,0.5,155
Brady Singer (Total Strikeouts)(must start),over,5.5,111
Brady Singer (Total Strikeouts)(must start),under,5.5,-164
Brady Singer (Hits Allowed)(must start),over,5.5,-114
Brady Singer (Hits Allowed)(must start),under,5.5,-119
Brady Singer (Earned Runs)(must start),over,2.5,-124
Brady Singer (Earned Runs)(must start),under,2.5,-107
Brady Singer (Pitching Outs)(must start),over,16.5,-110
Brady Singer (Pitching Outs)(must start),under,16.5,-126
Kyle Isbel (Total Bases)(must start),over,0.5,-171
Kyle Isbel (Total Bases)(must start),under,0.5,127
Freddy Fermin (Home Runs)(must start),over,0.5,765
Freddy Fermin (Home Runs)(must start),under,0.5,-1741
Freddy Fermin (Total Bases)(must start),over,0.5,-192
Freddy Fermin (Total Bases)(must start),under,0.5,140
Austin Martin (Total Bases)(must start),over,0.5,-153
Austin Martin (Total Bases)(must start),under,0.5,114
Royce Lewis (Home Runs)(must start),over,0.5,361
Royce Lewis (Home Runs)(must start),under,0.5,-729
Royce Lewis (Total Bases)(must start),over,1.5,108
Royce Lewis (Total Bases)(must start),under,1.5,-143
MJ Melendez (Home Runs)(must start),over,0.5,504
MJ Melendez (Home Runs)(must start),under,0.5,-1372
MJ Melendez (Total Bases)(must start),over,1.5,143
MJ Melendez (Total Bases)(must start),under,1.5,-197
Matt Wallner (Home Runs)(must start),over,0.5,299
Matt Wallner (Home Runs)(must start),under,0.5,-521
Matt Wallner (Total Bases)(must start),over,0.5,-158
Matt Wallner (Total Bases)(must start),under,0.5,114
Bobby Witt Jr. (Total Bases)(must start),over,1.5,-116
Bobby Witt Jr. (Total Bases)(must start),under,1.5,-114
Ryan Jeffers (Home Runs)(must start),over,0.5,685
Ryan Jeffers (Home Runs)(must start),under,0.5,-1448
Ryan Jeffers (Total Bases)(must start),over,0.5,-190
Ryan Jeffers (Total Bases)(must start),under,0.5,139
Vinnie Pasquantino (Total Bases)(must start),over,1.5,115
Vinnie Pasquantino (Total Bases)(must start),under,1.5,-154
Michael Massey (Home Runs)(must start),over,0.5,588
Michael Massey (Home Runs)(must start),under,0.5,-1132
Michael Massey (Total Bases)(must start),over,1.5,112
Michael Massey (Total Bases)(must start),under,1.5,-149
Chris Sale (Total Strikeouts)(must start),over,8.5,-110
Chris Sale (Total Strikeouts)(must start),under,8.5,-132
Chris Sale (Hits Allowed)(must start),over,4.5,104
Chris Sale (Hits Allowed)(must start),under,4.5,-142
Chris Sale (Earned Runs)(must start),over,1.5,-147
Chris Sale (Earned Runs)(must start),under,1.5,105
Chris Sale (Pitching Outs)(must start),over,17.5,-322
Chris Sale (Pitching Outs)(must start),under,17.5,191
Marcell Ozuna (Home Runs)(must start),over,0.5,485
Marcell Ozuna (Home Runs)(must start),under,0.5,-844
Marcell Ozuna (Total Bases)(must start),over,0.5,-196
Marcell Ozuna (Total Bases)(must start),under,0.5,143
Whit Merrifield (Total Bases)(must start),over,0.5,-173
Whit Merrifield (Total Bases)(must start),under,0.5,128
Adam Duvall (Home Runs)(must start),over,0.5,554
Adam Duvall (Home Runs)(must start),under,0.5,-1033
Adam Duvall (Total Bases)(must start),over,0.5,-121
Adam Duvall (Total Bases)(must start),under,0.5,-109
Blake Snell (Total Strikeouts)(must start),over,7.5,-136
Blake Snell (Total Strikeouts)(must start),under,7.5,-107
Blake Snell (Hits Allowed)(must start),over,4.5,123
Blake Snell (Hits Allowed)(must start),under,4.5,-172
Blake Snell (Earned Runs)(must start),over,1.5,-153
Blake Snell (Earned Runs)(must start),under,1.5,110
Blake Snell (Pitching Outs)(must start),over,17.5,-190
Blake Snell (Pitching Outs)(must start),under,17.5,127
Orlando Arcia (Home Runs)(must start),over,0.5,910
Orlando Arcia (Home Runs)(must start),under,0.5,-2356
Orlando Arcia (Total Bases)(must start),over,0.5,-156
Orlando Arcia (Total Bases)(must start),under,0.5,117
Matt Olson (Home Runs)(must start),over,0.5,541
Matt Olson (Home Runs)(must start),under,0.5,-994
Matt Olson (Total Bases)(must start),over,0.5,108
Matt Olson (Total Bases)(must start),under,0.5,-144
Jorge Soler (Home Runs)(must start),over,0.5,504
Jorge Soler (Home Runs)(must start),under,0.5,-894
Jorge Soler (Total Bases)(must start),over,0.5,-158
Jorge Soler (Total Bases)(must start),under,0.5,118
Austin Riley (Home Runs)(must start),over,0.5,590
Austin Riley (Home Runs)(must start),under,0.5,-1814
Austin Riley (Total Bases)(must start),over,0.5,-205
Austin Riley (Total Bases)(must start),under,0.5,148
Sean Murphy (Home Runs)(must start),over,0.5,721
Sean Murphy (Home Runs)(must start),under,0.5,-1576
Sean Murphy (Total Bases)(must start),over,0.5,-156
Sean Murphy (Total Bases)(must start),under,0.5,116
Jarred Kelenic (Total Bases)(must start),over,0.5,-124
Jarred Kelenic (Total Bases)(must start),under,0.5,-109
Mark Canha (Total Bases)(must start),over,0.5,-184
Mark Canha (Total Bases)(must start),under,0.5,135
Curt Casali (Total Bases)(must start),over,0.5,-102
Curt Casali (Total Bases)(must start),under,0.5,-130
Michael Conforto (Total Bases)(must start),over,0.5,-130
Michael Conforto (Total Bases)(must start),under,0.5,-102
Matt Chapman (Home Runs)(must start),over,0.5,475
Matt Chapman (Home Runs)(must start),under,0.5,-818
Matt Chapman (Total Bases)(must start),over,1.5,140
Matt Chapman (Total Bases)(must start),under,1.5,-193
Tyler Fitzgerald (Home Runs)(must start),over,0.5,690
Tyler Fitzgerald (Home Runs)(must start),under,0.5,-1465
Tyler Fitzgerald (Total Bases)(must start),over,0.5,-177
Tyler Fitzgerald (Total Bases)(must start),under,0.5,125
Jerar Encarnación (Home Runs)(must start),over,0.5,774
Jerar Encarnación (Home Runs)(must start),under,0.5,-1775
Jerar Encarnación (Total Bases)(must start),over,0.5,-126
Jerar Encarnación (Total Bases)(must start),under,0.5,-105
Casey Schmitt (Home Runs)(must start),over,0.5,918
Casey Schmitt (Home Runs)(must start),under,0.5,-2394
Casey Schmitt (Total Bases)(must start),over,0.5,-164
Casey Schmitt (Total Bases)(must start),under,0.5,119
Heliot Ramos (Home Runs)(must start),over,0.5,591
Heliot Ramos (Home Runs)(must start),under,0.5,-1140
Heliot Ramos (Total Bases)(must start),over,1.5,144
Heliot Ramos (Total Bases)(must start),under,1.5,-199
Marco Luciano (Total Bases)(must start),over,0.5,-111
Marco Luciano (Total Bases)(must start),under,0.5,-119
