,Name,GameId,teams,League,Designation,Side,Point,Odds,Category,Units,dec_odds,PlayName
207,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,13000,Player Props,Touchdowns,131.0,Adam Prentice
208,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,1400,Player Props,Touchdowns,15.0,Austin Trammell
209,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,30000,Player Props,Touchdowns,301.0,Austin Trammell
210,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,10000,Player Props,Touchdowns,101.0,Austin Trammell
211,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,2300,Player Props,Touchdowns,24.0,Demarcus Robinson
212,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,11000,Player Props,Touchdowns,111.0,Demarcus Robinson
213,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,290,Player Props,Touchdowns,3.9,Demarcus Robinson
214,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,12000,Player Props,Touchdowns,121.0,Rashid Shaheed
215,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,2600,Player Props,Touchdowns,27.0,Rashid Shaheed
216,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,325,Player Props,Touchdowns,4.25,Rashid Shaheed
217,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,20000,Player Props,Touchdowns,201.0,Davis Allen
218,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,6900,Player Props,Touchdowns,70.0,Davis Allen
219,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,800,Player Props,Touchdowns,9.0,Davis Allen
220,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,550,Player Props,Touchdowns,6.5,Lynn Bowden Jr.
221,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,20000,Player Props,Touchdowns,201.0,Lynn Bowden Jr.
222,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,4400,Player Props,Touchdowns,45.0,Lynn Bowden Jr.
223,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,700,Player Props,Touchdowns,8.0,Puka Nacua
224,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,5400,Player Props,Touchdowns,55.0,Puka Nacua
225,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,140,Player Props,Touchdowns,2.4,Puka Nacua
226,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,450,Player Props,Touchdowns,5.5,Royce Freeman
227,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,3600,Player Props,Touchdowns,37.0,Royce Freeman
228,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,17500,Player Props,Touchdowns,176.0,Royce Freeman
229,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,1900,Player Props,Touchdowns,20.0,Zach Evans
230,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,30000,Player Props,Touchdowns,301.0,Zach Evans
231,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,12000,Player Props,Touchdowns,121.0,Zach Evans
