,GameId,Key,Category,Designation,side,Pinnacle Odds,Points,Units,Play Name,Percentage,Vig,Fair Percentage,Pinnacle Fair Odds
0,1593490645.0,s;0;m,moneyline,home,,-121.0,nan,, ,0.5475113122171946,1.0192094254247417,0.5371921594907021,-116.07239819004532
1,1593490645.0,s;0;m,moneyline,away,,112.0,nan,, ,0.4716981132075472,1.0192094254247417,0.4628078405092981,116.07239819004522
2,1593490645.0,s;0;tt;3.5;home,team_total,over,home,-129.0,3.5,, ,0.5633187772925764,1.0395092534830526,0.5419083816763353,-118.29694323144105
3,1593490645.0,s;0;tt;3.5;home,team_total,under,home,110.0,3.5,, ,0.47619047619047616,1.0395092534830526,0.45809161832366474,118.29694323144105
4,1593490645.0,s;0;tt;3.5;away,team_total,over,away,-116.0,3.5,, ,0.5370370370370371,1.039524599226092,0.5166179207657537,-106.87568756875686
5,1593490645.0,s;0;tt;3.5;away,team_total,under,away,-101.0,3.5,, ,0.5024875621890548,1.039524599226092,0.48338207923424614,106.87568756875692
6,1593490645.0,s;0;s;-1.5,spread,home,,175.0,-1.5,, ,0.36363636363636365,1.0269360269360268,0.35409836065573774,182.4074074074074
7,1593490645.0,s;0;s;-1.5,spread,away,,-197.0,1.5,, ,0.6632996632996633,1.0269360269360268,0.6459016393442624,-182.40740740740748
8,1593490645.0,s;0;s;1.5,spread,home,,-219.0,1.5,, ,0.6865203761755486,1.0436632333184057,0.6577987556318386,-192.22570532915358
9,1593490645.0,s;0;s;1.5,spread,away,,180.0,-1.5,, ,0.35714285714285715,1.0436632333184057,0.34220124436816135,192.22570532915358
10,1593490645.0,s;0;s;1.0,spread,home,,-174.0,1.0,, ,0.635036496350365,1.036642922053176,0.6125894296298392,-158.12408759124096
11,1593490645.0,s;0;s;1.0,spread,away,,149.0,-1.0,, ,0.40160642570281124,1.036642922053176,0.38741057037016097,158.12408759124082
12,1593490645.0,s;0;s;-1.0,spread,home,,124.0,-1.0,, ,0.44642857142857145,1.0297619047619049,0.4335260115606936,130.66666666666669
13,1593490645.0,s;0;s;-1.0,spread,away,,-140.0,1.0,, ,0.5833333333333334,1.0297619047619049,0.5664739884393063,-130.66666666666663
14,1593490645.0,s;0;s;-2.0,spread,home,,240.0,-2.0,, ,0.29411764705882354,1.0343773873185638,0.2843426883308715,251.68831168831167
15,1593490645.0,s;0;s;-2.0,spread,away,,-285.0,2.0,, ,0.7402597402597403,1.0343773873185638,0.7156573116691285,-251.6883116883117
16,1593490645.0,s;0;s;-2.5,spread,home,,270.0,-2.5,, ,0.2702702702702703,1.0414373183251902,0.25951659837282504,285.3318077803203
17,1593490645.0,s;0;s;-2.5,spread,away,,-337.0,2.5,, ,0.7711670480549199,1.0414373183251902,0.740483401627175,-285.3318077803203
18,1593490645.0,s;0;s;-3.0,spread,home,,373.0,-3.0,, ,0.21141649048625794,1.0506447863061936,0.20122546958001464,396.95498392282957
19,1593490645.0,s;0;s;-3.0,spread,away,,-522.0,3.0,, ,0.8392282958199357,1.0506447863061936,0.7987745304199855,-396.95498392282985
20,1593490645.0,s;0;ou;7.5,total,over,,-104.0,7.5,, ,0.5098039215686274,1.0290346907993966,0.49541956760718214,101.8491124260355
21,1593490645.0,s;0;ou;7.5,total,under,,-108.0,7.5,, ,0.5192307692307693,1.0290346907993966,0.504580432392818,-101.84911242603556
22,1593490645.0,s;0;ou;4.5,total,over,,-518.0,4.5,, ,0.8381877022653722,1.0505019273184508,0.7978925887408511,-394.78640776699007
23,1593490645.0,s;0;ou;4.5,total,under,,371.0,4.5,, ,0.21231422505307856,1.0505019273184508,0.20210741125914877,394.78640776699035
24,1593490645.0,s;0;ou;6.0,total,over,,-220.0,6.0,, ,0.6875,1.0323275862068966,0.6659707724425887,-199.375
25,1593490645.0,s;0;ou;6.0,total,under,,190.0,6.0,, ,0.3448275862068966,1.0323275862068966,0.33402922755741127,199.375
26,1593490645.0,s;0;ou;6.5,total,over,,-168.0,6.5,, ,0.6268656716417911,1.030091478093404,0.6085534003271792,-155.46268656716416
27,1593490645.0,s;0;ou;6.5,total,under,,148.0,6.5,, ,0.4032258064516129,1.030091478093404,0.3914465996728207,155.4626865671642
28,1593490645.0,s;0;ou;7.0,total,over,,-139.0,7.0,, ,0.5815899581589958,1.0300204514325384,0.564639233473596,-129.69456066945608
29,1593490645.0,s;0;ou;7.0,total,under,,123.0,7.0,, ,0.4484304932735426,1.0300204514325384,0.43536076652640404,129.69456066945605
30,1593490645.0,s;0;ou;8.0,total,over,,114.0,8.0,, ,0.4672897196261682,1.028693228398098,0.45425565827223463,120.14035087719299
31,1593490645.0,s;0;ou;8.0,total,under,,-128.0,8.0,, ,0.5614035087719298,1.028693228398098,0.5457443417277653,-120.14035087719296
32,1593490645.0,s;0;ou;8.5,total,over,,133.0,8.5,, ,0.4291845493562232,1.029184549356223,0.41701417848206845,139.79999999999995
33,1593490645.0,s;0;ou;8.5,total,under,,-150.0,8.5,, ,0.6,1.029184549356223,0.5829858215179317,-139.8
34,1593490645.0,s;0;ou;9.0,total,over,,174.0,9.0,, ,0.36496350364963503,1.0316301703163018,0.35377358490566035,182.66666666666669
35,1593490645.0,s;0;ou;9.0,total,under,,-200.0,9.0,, ,0.6666666666666666,1.0316301703163018,0.6462264150943395,-182.66666666666657
36,1593490645.0,s;0;ou;11.5,total,over,,379.0,11.5,, ,0.20876826722338204,1.0505404191221164,0.1987246405976832,403.20886075949375
