,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
469,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,over,Neither,Over 1.5,1.5,1.625,
470,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,under,Neither,Under 1.5,1.5,2.2,
471,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,over,Neither,Over 2.5,2.5,3.0,
472,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,under,Neither,Under 2.5,2.5,1.3637,
473,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,over,Neither,Over 3.5,3.5,6.0,
474,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,under,Neither,Under 3.5,3.5,1.1112,
475,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,over,Neither,Over 4.5,4.5,14.0,
476,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Total,under,Neither,Under 4.5,4.5,1.0286,
477,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Home Total (2-Way OF),over,Home,Over 0.5,0.5,1.5,
478,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Home Total (2-Way OF),under,Home,Under 0.5,0.5,2.5,
479,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Home Total (2-Way OF),over,Home,Over 1.5,1.5,3.3,
480,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Home Total (2-Way OF),under,Home,Under 1.5,1.5,1.3077,
481,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Away Total (2-Way OF),over,Away,Over 0.5,0.5,1.6061,
482,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Away Total (2-Way OF),under,Away,Under 0.5,0.5,2.25,
483,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Away Total (2-Way OF),over,Away,Over 1.5,1.5,3.8,
484,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Away Total (2-Way OF),under,Away,Under 1.5,1.5,1.25,
485,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Spread (3-Way OF),,Home,Edmonton Oilers +1,1.0,1.4,
486,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Spread (3-Way OF),,Away,Florida Panthers -1,-1.0,7.0,
487,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Third Period Spread (3-Way OF),,Neither,Tie +1,1.0,4.3,
