,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
0,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Home,Chicago Cubs,0.0,1.2858,
1,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Moneyline OF,,Away,Cincinnati Reds,0.0,3.4,
2,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line,,Home,Chicago Cubs -1.5,-1.5,2.75,
3,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line,,Away,Cincinnati Reds +1.5,1.5,1.4167,
4,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs OF,over,Neither,Over 7.5,7.5,2.0,
5,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs OF,under,Neither,Under 7.5,7.5,1.7693,
6,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 2.5,2.5,1.7143,
7,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 2.5,2.5,2.05,
8,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.5883,
9,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,2.3,
10,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 5.5,5.5,1.25,
11,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 5.5,5.5,3.8,
12,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 6.5,6.5,1.4445,
13,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 6.5,6.5,2.65,
14,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 8.5,8.5,2.6,
15,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 8.5,8.5,1.4762,
16,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 9.5,9.5,4.0,
17,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 9.5,9.5,1.2353,
18,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 10.5,10.5,5.0,
19,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 10.5,10.5,1.16,
20,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,over,Neither,Over 11.5,11.5,8.0,
21,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs OF,under,Neither,Under 11.5,11.5,1.08,
22,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,over,Neither,Over 8,8.0,2.6,
23,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,under,Neither,Under 8,8.0,1.7693,
24,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,,Neither,Draw 8,8.0,6.5,
25,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,over,Neither,Over 6,6.0,1.4445,
26,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,under,Neither,Under 6,6.0,3.8,
27,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Total Runs - 3-Way OF,,Neither,Draw 6,6.0,8.5,
28,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,over,Neither,Over 7,7.0,2.0,
29,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,under,Neither,Under 7,7.0,2.65,
30,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - 3-Way OF,,Neither,Draw 7,7.0,4.3,
31,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 2,2.0,2.05,
32,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 3,3.0,4.75,
33,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 4,4.0,6.0,
34,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 5,5.0,8.0,
35,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 6,6.0,11.5,
36,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 7,7.0,14.0,
37,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - AWAYTEAM OF,,Away,Cincinnati Reds Total Runs 8+,7.5,13.0,
38,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Bands OF,,Neither,8 Or Less,8.5,1.4762,
39,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Bands OF,,Neither,9 To 12,0.0,3.0,
40,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Bands OF,,Neither,13 Or More,12.5,12.0,
41,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 3,3.0,2.3,
42,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 4,4.0,3.4,
43,Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact - HOMETEAM OF,,Home,Chicago Cubs Total Runs 5,5.0,5.0,
