Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 9,9.0,3.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 10,10.0,6.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 11,11.0,5.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 12,12.0,13.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 13,13.0,12.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 14,14.0,26.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Exact OF,,Neither,Total Runs 15+,14.5,14.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even OF,,Neither,Odd,0.0,1.3637,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even OF,,Neither,Even,0.0,3.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - AWAYTEAM OF,,Away,Odd,0.0,2.75,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - AWAYTEAM OF,,Away,Even,0.0,1.4167,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - HOMETEAM OF,,Home,Odd,0.0,1.3077,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Runs - Odd/Even - HOMETEAM OF,,Home,Even,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -2.5,-2.5,15.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +2.5,2.5,1.025,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +1.5,1.5,1.3637,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -1.5,-1.5,3.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +2.5,2.5,1.125,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -2.5,-2.5,5.75,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +3.5,3.5,1.05,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -3.5,-3.5,11.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs -1.5,-1.5,7.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds +1.5,1.5,1.0834,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Home,Chicago Cubs +4.5,4.5,1.02,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line,,Away,Cincinnati Reds -4.5,-4.5,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Home,Chicago Cubs -1,-1.0,7.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Away,Cincinnati Reds +1,1.0,1.3637,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Neither,Draw -1,-1.0,4.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Home,Chicago Cubs +1,1.0,3.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Away,Cincinnati Reds -1,-1.0,2.9,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Alternate Run Line - 3-Way OF,,Neither,Draw +1,1.0,2.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Home,Chicago Cubs +2,2.0,1.3847,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Away,Cincinnati Reds -2,-2.0,5.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Run Line - 3-Way OF,,Neither,Draw +2,2.0,5.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 1 To 2,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 3 To 4,0.0,15.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 5 To 6,0.0,46.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Home,Chicago Cubs - 7 Or More,0.0,91.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 1 To 2,0.0,1.7143,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 3 To 4,0.0,7.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 5 To 6,0.0,21.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Bands OF,,Away,Cincinnati Reds - 7 Or More,0.0,46.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 1,0.0,4.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 2,0.0,11.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 3,0.0,21.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 4,0.0,31.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Home,Chicago Cubs - 5 Or More,0.0,36.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 1,0.0,2.4,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 2,0.0,5.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 3,0.0,10.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 4,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Winning Margin - Exact OF,,Away,Cincinnati Reds - 5 Or More,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,D. Swanson Over 0.5,0.5,18.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,D. Swanson Under 0.5,0.5,1.0167,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,over,Home,I. Happ Over 1.5,1.5,23.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Player home runs OF,under,Home,I. Happ Under 1.5,1.5,1.01,
