,Pinnacle,Fanduel,name,Fanduel Link,PinnacleS Link,PinnacleR Link
20,1593568924,33398048,San Francisco Giants (H Birdsong) @ Cleveland Guardians (C Carrasco),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398048,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568924/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568924/related
21,1593482679,33395815,Philadelphia Phillies (R Suarez) @ Atlanta Braves (S Schwellenbach),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395815,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482679/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482679/related
22,1593482679,33398038,Philadelphia Phillies (M Mercado) @ Atlanta Braves (R Lopez),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398038,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482679/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593482679/related
23,1593490618,33398408,Sacramento River Cats @ Reno Aces,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398408,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490618/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490618/related
24,1593496665,33398529,Fubon Guardians @ Rakuten Monkeys,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398529,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593496665/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593496665/related
25,1593493339,33398510,Hiroshima Toyo Carp @ Chunichi Dragons,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398510,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593493339/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593493339/related
26,1593568923,33395821,Baltimore Orioles (C Povich) @ Oakland Athletics (L Medina),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395821,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568923/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568923/related
27,1593568923,33398046,Baltimore Orioles (G Rodriguez) @ Oakland Athletics (M Spence),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398046,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568923/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593568923/related
28,1593490337,33395827,Kansas City Royals (S Lugo) @ Colorado Rockies (A Gomber),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33395827,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490337/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490337/related
29,1593490337,33398052,Kansas City Royals (B Singer) @ Colorado Rockies (R Feltner),https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398052,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490337/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593490337/related
30,1593495872,33398512,Chiba Lotte Marines @ Saitama Seibu Lions,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398512,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593495872/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593495872/related
31,1593496662,33398520,Yomiuri Giants @ Tokyo Yakult Swallows,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398520,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593496662/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593496662/related
32,1593487577,33398409,Las Vegas Aviators @ Oklahoma City Baseball Club,https://sbapi.nj.sportsbook.fanduel.com/api/event-page?_ak=FhMFpcPWXMeyZxOx&eventId=33398409,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593487577/markets/related/straight,https://guest.api.arcadia.pinnacle.com/0.1/matchups/1593487577/related
