Teams_x,League_x,Category_x,Designation_x,Side_x,Name_x,Points_x,PB Decimal Odds,PB American Odds,Key,Period,GameId,Teams_y,League_y,Designation_y,Side_y,Points_y,BO Odds,BO dec_odds,Category_y,Name_y,Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 43.5,43.5,2.1,110.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 43.5,43.5,1.6897,-145.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 44.5,44.5,2.3,130.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 44.5,44.5,1.5883,-170.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 45.5,45.5,2.45,145.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 45.5,45.5,1.5264,-190.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 46.5,46.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 46.5,46.5,1.4762,-210.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 47.5,47.5,2.85,185.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 47.5,47.5,1.4,-250.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 48.5,48.5,3.1,210.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 48.5,48.5,1.3449,-290.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 49.5,49.5,3.3,230.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 49.5,49.5,1.3077,-325.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 50.5,50.5,3.6,260.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 50.5,50.5,1.2667,-375.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 51.5,51.5,4.0,300.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 51.5,51.5,1.2353,-425.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 52.5,52.5,4.3,330.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 52.5,52.5,1.2,-500.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 53.5,53.5,4.75,375.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 53.5,53.5,1.174,-575.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 54.5,54.5,5.25,425.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 54.5,54.5,1.1429,-700.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 55.5,55.5,5.75,475.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 55.5,55.5,1.125,-800.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 56.5,56.5,6.0,500.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 56.5,56.5,1.1112,-899.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 57.5,57.5,6.5,550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 57.5,57.5,1.1,-1000.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Over 58.5,58.5,7.5,650.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Alternate Totals,over,Neither,Under 58.5,58.5,1.0834,-1199.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -22.5,-22.5,7.5,650.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +22.5,22.5,1.0834,-1199.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -21.5,-21.5,6.5,550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +21.5,21.5,1.1,-1000.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -20.5,-20.5,5.75,475.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +20.5,20.5,1.125,-800.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -19.5,-19.5,5.25,425.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +19.5,19.5,1.1429,-700.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -18.5,-18.5,5.0,400.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +18.5,18.5,1.16,-625.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -17.5,-17.5,4.5,350.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +17.5,17.5,1.1819,-550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -16.5,-16.5,4.1,310.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +16.5,16.5,1.2223,-450.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -15.5,-15.5,3.8,280.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +15.5,15.5,1.25,-400.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -14.5,-14.5,3.6,260.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +14.5,14.5,1.2667,-375.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -13.5,-13.5,3.2,220.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +13.5,13.5,1.3334,-300.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -12.5,-12.5,3.0,200.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +12.5,12.5,1.3637,-275.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -11.5,-11.5,2.85,185.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +11.5,11.5,1.4,-250.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -10.5,-10.5,2.65,165.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +10.5,10.5,1.4445,-225.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -9.5,-9.5,2.45,145.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +9.5,9.5,1.5264,-190.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -8.5,-8.5,2.4,140.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +8.5,8.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -7.5,-7.5,2.2,120.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +7.5,7.5,1.625,-160.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -6.5,-6.5,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +6.5,6.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -5.5,-5.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +5.5,5.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -4.5,-4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -3.5,-3.5,1.625,-160.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +3.5,3.5,2.2,120.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -2.5,-2.5,1.4762,-210.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +2.5,2.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -1.5,-1.5,1.4167,-240.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +1.5,1.5,2.75,175.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks -0.5,-0.5,1.3847,-260.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos +0.5,0.5,2.9,190.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +0.5,0.5,1.3637,-275.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -0.5,-0.5,3.0,200.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +1.5,1.5,1.3334,-300.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -1.5,-1.5,3.2,220.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +2.5,2.5,1.2858,-350.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -2.5,-2.5,3.4,240.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +3.5,3.5,1.2223,-450.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -3.5,-3.5,4.1,310.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +4.5,4.5,1.1819,-550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -4.5,-4.5,4.5,350.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +5.5,5.5,1.174,-575.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -5.5,-5.5,4.75,375.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +6.5,6.5,1.1429,-700.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -6.5,-6.5,5.25,425.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +7.5,7.5,1.1,-1000.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -7.5,-7.5,6.5,550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Home,Seattle Seahawks +8.5,8.5,1.091,-1099.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Pick Your Own Line,,Away,Denver Broncos -8.5,-8.5,7.0,600.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,over,Away,Over 0.5,0.5,1.1,-1000.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,under,Away,Under 0.5,0.5,6.5,550.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,over,Away,Over 1.5,1.5,1.6061,-165.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,under,Away,Under 1.5,1.5,2.25,125.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,over,Away,Over 2.5,2.5,3.1,210.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,under,Away,Under 2.5,2.5,1.3449,-290.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,over,Away,Over 3.5,3.5,7.5,650.0,,,,,,,,,,,,,,,,,,,,,
Denver Broncos(away) vs Seattle Seahawks(home),NFL,Away Team Touchdowns Over/Under,under,Away,Under 3.5,3.5,1.0834,-1199.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Moneyline,,Home,Los Angeles Chargers,0.0,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Moneyline,,Away,Las Vegas Raiders,0.0,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Point Spread,,Home,Los Angeles Chargers -3.0,-3.0,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Point Spread,,Away,Las Vegas Raiders +3.0,3.0,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total,over,Neither,Over 43,43.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total,under,Neither,Under 43,43.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Made 1st Down of Drive,,Neither,Yes,0.5,1.3637,-275.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Made 1st Down of Drive,,Neither,No,0.5,3.0,200.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Current Drive,,Neither,Field Goal Attempt,0.0,4.5,350.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Current Drive,,Neither,Offensive Touchdown,0.0,4.5,350.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Current Drive,,Neither,Punt,0.0,1.8696,-115.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Current Drive,,Neither,Other,0.0,5.75,475.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Next Play,,Neither,First Down,0.0,4.2,320.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Next Play,,Neither,Short Of First Down,0.0,1.2223,-450.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Next Play,,Neither,Turnover,0.0,21.0,2000.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Result of Next Play,,Neither,Offensive Score,0.0,36.0,3500.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,over,Neither,Over 2.5,2.5,1.091,-1099.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,under,Neither,Under 2.5,2.5,7.0,600.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,over,Neither,Over 3.5,3.5,1.3077,-325.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,under,Neither,Under 3.5,3.5,3.3,230.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,over,Neither,Over 4.5,4.5,1.7143,-140.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,under,Neither,Under 4.5,4.5,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,over,Neither,Over 5.5,5.5,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,under,Neither,Under 5.5,5.5,1.4762,-210.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,over,Neither,Over 6.5,6.5,4.5,350.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Total Touchdowns Over/Under,under,Neither,Under 6.5,6.5,1.1819,-550.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,over,Home,Over 1.5,1.5,1.2,-500.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,under,Home,Under 1.5,1.5,4.3,330.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,over,Home,Over 2.5,2.5,1.8334,-120.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,under,Home,Under 2.5,2.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,over,Home,Over 3.5,3.5,3.6,260.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Home Team Touchdowns Over/Under,under,Home,Under 3.5,3.5,1.2667,-375.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Odd or Even Total,,Neither,Odd,0.0,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Odd or Even Total,,Neither,Even,0.0,2.05,105.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Will There Be A Successful 2 Point Conversion?,,Neither,Yes,0.5,4.75,375.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Will There Be A Successful 2 Point Conversion?,,Neither,No,0.5,1.174,-575.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Moneyline 3 Way ,,Home,Los Angeles Chargers,0.0,1.6061,-165.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Moneyline 3 Way ,,Away,Las Vegas Raiders,0.0,2.6,160.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Moneyline 3 Way ,,Neither,Tie,0.0,11.0,1000.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Will There Be Overtime?,,Neither,Yes,0.0,11.0,1000.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Will There Be Overtime?,,Neither,No,0.0,1.05,-2000.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,To Score First and Lose,,Neither,Los Angeles Chargers,0.0,5.75,475.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,To Score First and Lose,,Neither,Las Vegas Raiders,0.0,3.8,280.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Highest Scoring Half,,Neither,First,0.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Highest Scoring Half,,Neither,Second,0.0,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Highest Scoring Half,,Neither,Tie,0.0,16.0,1500.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team to Win Both Halves,,Home,Los Angeles Chargers,0.0,3.5,250.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team to Win Both Halves,,Away,Las Vegas Raiders,0.0,6.5,550.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team to Win Every Quarter,,Home,Los Angeles Chargers,0.0,19.0,1800.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team to Win Every Quarter,,Away,Las Vegas Raiders,0.0,46.0,4500.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team To Score in Each Quarter?,,Home,Los Angeles Chargers,0.0,3.1,210.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team To Score in Each Quarter?,,Away,Las Vegas Raiders,0.0,4.1,310.0,,,,,,,,,,,,,,,,,,,,,
Las Vegas Raiders(away) vs Los Angeles Chargers(home),NFL,Team to Lead After Every Quarter,,Home,Los Angeles Chargers,0.0,3.4,240.0,,,,,,,,,,,,,,,,,,,,,
